scheme_name,category,eligibility,state,benefit
Standup India,Healthcare,Women,Tamil Nadu,Insurance Cover
Mid-Day Meal,Education,Farmer,Maharashtra,Scholarship
MGNREGA,Education,Worker,Uttar Pradesh,Insurance Cover
PM-KISAN,Finance,All Citizens,Maharashtra,Housing Support
MGNREGA,Finance,Women,Rajasthan,Subsidy
Beti Bachao Beti Padhao,Housing,Women,West Bengal,Cash Transfer
Pradhan Mantri Awas Yojana,Employment,Student,Bihar,Employment Guarantee
Beti Bachao Beti Padhao,Business,Student,Maharashtra,Housing Support
Mid-Day Meal,Finance,Women,Karnataka,Employment Guarantee
PM-KISAN,Housing,All Citizens,Bihar,Scholarship
Standup India,Education,Farmer,Tamil Nadu,Employment Guarantee
Ayushman Bharat,Housing,Student,Maharashtra,Insurance Cover
Mid-Day Meal,Women,All Citizens,West Bengal,Insurance Cover
Startup India,Agriculture,Women,West Bengal,Cash Transfer
Standup India,Education,Student,Rajasthan,Insurance Cover
Beti Bachao Beti Padhao,Business,Worker,West Bengal,Insurance Cover
PM-KISAN,Healthcare,All Citizens,Karnataka,Employment Guarantee
Pradhan Mantri Awas Yojana,Business,Women,Uttar Pradesh,Cash Transfer
PM-KISAN,Women,Women,Bihar,Scholarship
Beti Bachao Beti Padhao,Women,Farmer,Bihar,Scholarship
Beti Bachao Beti Padhao,Healthcare,Women,Karnataka,Subsidy
Startup India,Housing,All Citizens,Bihar,Employment Guarantee
PM-KISAN,Employment,Women,West Bengal,Scholarship
Standup India,Healthcare,Worker,West Bengal,Housing Support
PM-KISAN,Business,Student,Karnataka,Subsidy
Pradhan Mantri Awas Yojana,Agriculture,Worker,Rajasthan,Scholarship
Startup India,Women,Student,Maharashtra,Cash Transfer
Pradhan Mantri Awas Yojana,Healthcare,Women,Madhya Pradesh,Cash Transfer
Startup India,Agriculture,All Citizens,Karnataka,Scholarship
PM-KISAN,Healthcare,Farmer,West Bengal,Insurance Cover
Beti Bachao Beti Padhao,Education,Farmer,Madhya Pradesh,Cash Transfer
PM-KISAN,Employment,Worker,Maharashtra,Scholarship
Mid-Day Meal,Housing,Women,Uttar Pradesh,Insurance Cover
Standup India,Agriculture,Farmer,Karnataka,Housing Support
Ayushman Bharat,Employment,Farmer,Maharashtra,Scholarship
Pradhan Mantri Awas Yojana,Healthcare,Farmer,West Bengal,Insurance Cover
Mid-Day Meal,Finance,Farmer,Karnataka,Scholarship
MGNREGA,Employment,Worker,Karnataka,Cash Transfer
Pradhan Mantri Awas Yojana,Healthcare,Student,Tamil Nadu,Cash Transfer
Startup India,Employment,Student,Maharashtra,Subsidy
Standup India,Healthcare,All Citizens,Karnataka,Employment Guarantee
MGNREGA,Women,All Citizens,Rajasthan,Employment Guarantee
Pradhan Mantri Awas Yojana,Housing,Women,Rajasthan,Scholarship
Standup India,Employment,All Citizens,Bihar,Insurance Cover
Standup India,Women,All Citizens,Karnataka,Subsidy
Standup India,Healthcare,Farmer,West Bengal,Scholarship
Beti Bachao Beti Padhao,Finance,All Citizens,Uttar Pradesh,Subsidy
Beti Bachao Beti Padhao,Housing,Women,Rajasthan,Insurance Cover
Mid-Day Meal,Employment,Farmer,West Bengal,Insurance Cover
Ayushman Bharat,Agriculture,Student,West Bengal,Cash Transfer
PM-KISAN,Finance,Women,Uttar Pradesh,Employment Guarantee
Standup India,Finance,All Citizens,Madhya Pradesh,Employment Guarantee
Pradhan Mantri Awas Yojana,Employment,Farmer,West Bengal,Employment Guarantee
Pradhan Mantri Awas Yojana,Healthcare,Farmer,Madhya Pradesh,Subsidy
Mid-Day Meal,Women,Women,Tamil Nadu,Insurance Cover
Ayushman Bharat,Employment,Women,Karnataka,Insurance Cover
Startup India,Agriculture,Student,Bihar,Cash Transfer
Startup India,Education,Farmer,Madhya Pradesh,Employment Guarantee
MGNREGA,Finance,Farmer,West Bengal,Employment Guarantee
MGNREGA,Employment,Farmer,Rajasthan,Scholarship
Beti Bachao Beti Padhao,Employment,Women,Tamil Nadu,Subsidy
Mid-Day Meal,Agriculture,Student,Rajasthan,Subsidy
Pradhan Mantri Awas Yojana,Business,All Citizens,Maharashtra,Employment Guarantee
Ayushman Bharat,Education,Women,Uttar Pradesh,Subsidy
Standup India,Business,All Citizens,Bihar,Subsidy
Mid-Day Meal,Business,Farmer,Tamil Nadu,Insurance Cover
Pradhan Mantri Awas Yojana,Women,Women,Tamil Nadu,Housing Support
Pradhan Mantri Awas Yojana,Housing,All Citizens,Rajasthan,Cash Transfer
Beti Bachao Beti Padhao,Education,Farmer,Madhya Pradesh,Scholarship
Beti Bachao Beti Padhao,Agriculture,Worker,West Bengal,Employment Guarantee
PM-KISAN,Women,Worker,West Bengal,Cash Transfer
Startup India,Education,Student,Madhya Pradesh,Subsidy
Startup India,Women,Student,West Bengal,Employment Guarantee
Standup India,Education,Women,Maharashtra,Housing Support
Pradhan Mantri Awas Yojana,Healthcare,Student,West Bengal,Scholarship
Pradhan Mantri Awas Yojana,Finance,Student,Bihar,Employment Guarantee
Pradhan Mantri Awas Yojana,Employment,Worker,Madhya Pradesh,Subsidy
Ayushman Bharat,Women,All Citizens,Tamil Nadu,Cash Transfer
Startup India,Agriculture,Women,Uttar Pradesh,Subsidy
Ayushman Bharat,Women,Women,Bihar,Subsidy
MGNREGA,Employment,All Citizens,Maharashtra,Insurance Cover
Startup India,Healthcare,All Citizens,Uttar Pradesh,Employment Guarantee
MGNREGA,Women,Women,West Bengal,Cash Transfer
Ayushman Bharat,Women,All Citizens,Karnataka,Employment Guarantee
MGNREGA,Business,All Citizens,Madhya Pradesh,Cash Transfer
Standup India,Healthcare,Worker,Uttar Pradesh,Subsidy
Standup India,Employment,Student,Tamil Nadu,Cash Transfer
Pradhan Mantri Awas Yojana,Agriculture,Farmer,Bihar,Subsidy
Mid-Day Meal,Business,All Citizens,Karnataka,Employment Guarantee
Beti Bachao Beti Padhao,Housing,Student,Karnataka,Subsidy
Pradhan Mantri Awas Yojana,Agriculture,Farmer,Rajasthan,Employment Guarantee
Mid-Day Meal,Business,All Citizens,West Bengal,Cash Transfer
PM-KISAN,Finance,Student,Bihar,Subsidy
Startup India,Housing,Worker,Madhya Pradesh,Employment Guarantee
Beti Bachao Beti Padhao,Women,All Citizens,West Bengal,Housing Support
MGNREGA,Business,Worker,Bihar,Cash Transfer
Beti Bachao Beti Padhao,Agriculture,Farmer,West Bengal,Insurance Cover
Beti Bachao Beti Padhao,Agriculture,All Citizens,Rajasthan,Cash Transfer
Ayushman Bharat,Business,Women,Bihar,Subsidy
Ayushman Bharat,Education,Worker,West Bengal,Employment Guarantee
Ayushman Bharat,Employment,All Citizens,Karnataka,Housing Support
PM-KISAN,Women,All Citizens,West Bengal,Insurance Cover
Pradhan Mantri Awas Yojana,Women,Women,Tamil Nadu,Housing Support
PM-KISAN,Employment,Farmer,Bihar,Subsidy
MGNREGA,Education,Worker,Bihar,Employment Guarantee
Startup India,Healthcare,Student,Tamil Nadu,Scholarship
Standup India,Business,Student,Bihar,Scholarship
MGNREGA,Housing,Farmer,Tamil Nadu,Cash Transfer
Startup India,Healthcare,Worker,Maharashtra,Cash Transfer
Beti Bachao Beti Padhao,Women,Women,Bihar,Scholarship
Ayushman Bharat,Finance,Farmer,Bihar,Subsidy
MGNREGA,Agriculture,Worker,Tamil Nadu,Employment Guarantee
Pradhan Mantri Awas Yojana,Finance,Worker,Maharashtra,Insurance Cover
MGNREGA,Women,Student,Madhya Pradesh,Subsidy
Pradhan Mantri Awas Yojana,Women,Worker,Madhya Pradesh,Insurance Cover
PM-KISAN,Employment,Worker,West Bengal,Insurance Cover
Mid-Day Meal,Women,All Citizens,Madhya Pradesh,Housing Support
Pradhan Mantri Awas Yojana,Women,Student,Maharashtra,Scholarship
Beti Bachao Beti Padhao,Finance,Worker,Karnataka,Housing Support
MGNREGA,Women,Women,Tamil Nadu,Scholarship
